FIPS,County,State,Plan_Selections
1001,Autauga County,AL,1896
1003,Baldwin County,AL,11778
1005,Barbour County,AL,801
1007,Bibb County,AL,629
1009,Blount County,AL,2264
1011,Bullock County,AL,334
1013,Butler County,AL,816
1015,Calhoun County,AL,3966
1017,Chambers County,AL,1128
1019,Cherokee County,AL,926
1021,Chilton County,AL,1939
1023,Choctaw County,AL,652
1025,Clarke County,AL,1272
1027,Clay County,AL,489
1029,Cleburne County,AL,610
1031,Coffee County,AL,1488
1033,Colbert County,AL,2250
1035,Conecuh County,AL,548
1037,Coosa County,AL,384
1039,Covington County,AL,1452
1041,Crenshaw County,AL,566
1043,Cullman County,AL,3395
1045,Dale County,AL,1475
1047,Dallas County,AL,1684
1049,DeKalb County,AL,3047
1051,Elmore County,AL,2609
1053,Escambia County,AL,1202
1055,Etowah County,AL,4639
1057,Fayette County,AL,577
1059,Franklin County,AL,1060
1061,Geneva County,AL,973
1063,Greene County,AL,323
1065,Hale County,AL,593
1067,Henry County,AL,722
1069,Houston County,AL,4058
1071,Jackson County,AL,2077
1073,Jefferson County,AL,26649
1075,Lamar County,AL,507
1077,Lauderdale County,AL,4006
1079,Lawrence County,AL,1468
1081,Lee County,AL,5455
1083,Limestone County,AL,3259
1085,Lowndes County,AL,415
1087,Macon County,AL,709
1089,Madison County,AL,15358
1091,Marengo County,AL,784
1093,Marion County,AL,1152
1095,Marshall County,AL,3818
1097,Mobile County,AL,19313
1099,Monroe County,AL,1035
1101,Montgomery County,AL,8716
1103,Morgan County,AL,5287
1105,Perry County,AL,344
1107,Pickens County,AL,633
1109,Pike County,AL,1014
1111,Randolph County,AL,843
1113,Russell County,AL,1979
1115,St. Clair County,AL,3315
1117,Shelby County,AL,8556
1119,Sumter County,AL,475
1121,Talladega County,AL,2571
1123,Tallapoosa County,AL,1596
1125,Tuscaloosa County,AL,6605
1127,Walker County,AL,2415
1129,Washington County,AL,620
1131,Wilcox County,AL,501
1133,Winston County,AL,1027
2013,Aleutians East Borough,AK,38
2016,Aleutians West Census Area,AK,38
2020,Anchorage Municipality,AK,9484
2050,Bethel Census Area,AK,73
2060,Bristol Bay Borough,AK,34
2068,Denali Borough,AK,164
2070,Dillingham Census Area,AK,31
2090,Fairbanks North Star Borough,AK,2382
2100,Haines Borough,AK,285
2105,Hoonah-Angoon Census Area,AK,117
2110,Juneau City and Borough,AK,1082
2122,Kenai Peninsula Borough,AK,2721
2130,Ketchikan Gateway Borough,AK,553
2150,Kodiak Island Borough,AK,848
2164,Lake and Peninsula Borough,AK,34
2170,Matanuska-Susitna Borough,AK,3218
2180,Nome Census Area,AK,57
2185,North Slope Borough,AK,33
2188,Northwest Arctic Borough,AK,28
2195,Petersburg Census Area,AK,229
2198,Prince of Wales-Hyder Census Area,AK,112
2220,Sitka City and Borough,AK,472
2230,Skagway Municipality,AK,176
2240,Southeast Fairbanks Census Area,AK,174
2261,Valdez-Cordova Census Area,AK,461
2270,Wade Hampton Census Area,AK,16
2275,Wrangell City and Borough,AK,96
2282,Yakutat City and Borough,AK,17
2290,Yukon-Koyukuk Census Area,AK,55
4001,Apache County,AZ,509
4003,Cochise County,AZ,3206
4005,Coconino County,AZ,4197
4007,Gila County,AZ,1452
4009,Graham County,AZ,905
4011,Greenlee County,AZ,108
4012,La Paz County,AZ,331
4013,Maricopa County,AZ,126317
4015,Mohave County,AZ,6525
4017,Navajo County,AZ,2142
4019,Pima County,AZ,31161
4021,Pinal County,AZ,9667
4023,Santa Cruz County,AZ,2111
4025,Yavapai County,AZ,9875
4027,Yuma County,AZ,4558
5001,Arkansas County,AR,465
5003,Ashley County,AR,552
5005,Baxter County,AR,1360
5007,Benton County,AR,6614
5009,Boone County,AR,1050
5011,Bradley County,AR,288
5013,Calhoun County,AR,129
5015,Carroll County,AR,1032
5017,Chicot County,AR,260
5019,Clark County,AR,476
5021,Clay County,AR,348
5023,Cleburne County,AR,879
5025,Cleveland County,AR,162
5027,Columbia County,AR,431
5029,Conway County,AR,549
5031,Craighead County,AR,2420
5033,Crawford County,AR,1476
5035,Crittenden County,AR,1093
5037,Cross County,AR,421
5039,Dallas County,AR,149
5041,Desha County,AR,303
5043,Drew County,AR,510
5045,Faulkner County,AR,3048
5047,Franklin County,AR,358
5049,Fulton County,AR,281
5051,Garland County,AR,3302
5053,Grant County,AR,464
5055,Greene County,AR,911
5057,Hempstead County,AR,410
5059,Hot Spring County,AR,856
5061,Howard County,AR,294
5063,Independence County,AR,1094
5065,Izard County,AR,307
5067,Jackson County,AR,355
5069,Jefferson County,AR,1269
5071,Johnson County,AR,493
5073,Lafayette County,AR,151
5075,Lawrence County,AR,426
5077,Lee County,AR,203
5079,Lincoln County,AR,262
5081,Little River County,AR,263
5083,Logan County,AR,467
5085,Lonoke County,AR,1540
5087,Madison County,AR,444
5089,Marion County,AR,466
5091,Miller County,AR,864
5093,Mississippi County,AR,854
5095,Monroe County,AR,198
5097,Montgomery County,AR,331
5099,Nevada County,AR,200
5101,Newton County,AR,245
5103,Ouachita County,AR,539
5105,Perry County,AR,257
5107,Phillips County,AR,399
5109,Pike County,AR,342
5111,Poinsett County,AR,578
5113,Polk County,AR,499
5115,Pope County,AR,1382
5117,Prairie County,AR,216
5119,Pulaski County,AR,9563
5121,Randolph County,AR,438
5123,St. Francis County,AR,450
5125,Saline County,AR,2748
5127,Scott County,AR,154
5129,Searcy County,AR,274
5131,Sebastian County,AR,2843
5133,Sevier County,AR,314
5135,Sharp County,AR,513
5137,Stone County,AR,371
5139,Union County,AR,871
5141,Van Buren County,AR,470
5143,Washington County,AR,6527
5145,White County,AR,1943
5147,Woodruff County,AR,172
5149,Yell County,AR,457
10001,Kent County,DE,3820
10003,New Castle County,DE,16700
10005,Sussex County,DE,7736
12001,Alachua County,FL,14826
12003,Baker County,FL,1043
12005,Bay County,FL,11567
12007,Bradford County,FL,1163
12009,Brevard County,FL,37779
12011,Broward County,FL,241784
12013,Calhoun County,FL,503
12015,Charlotte County,FL,11451
12017,Citrus County,FL,10017
12019,Clay County,FL,10449
12021,Collier County,FL,28283
12023,Columbia County,FL,3489
12027,DeSoto County,FL,1432
12029,Dixie County,FL,667
12031,Duval County,FL,56252
12033,Escambia County,FL,13957
12035,Flagler County,FL,7473
12037,Franklin County,FL,748
12039,Gadsden County,FL,1693
12041,Gilchrist County,FL,747
12043,Glades County,FL,507
12045,Gulf County,FL,821
12047,Hamilton County,FL,543
12049,Hardee County,FL,1137
12051,Hendry County,FL,2641
12053,Hernando County,FL,12035
12055,Highlands County,FL,5310
12057,Hillsborough County,FL,83941
12059,Holmes County,FL,789
12061,Indian River County,FL,10396
12063,Jackson County,FL,1895
12065,Jefferson County,FL,626
12067,Lafayette County,FL,320
12069,Lake County,FL,22323
12071,Lee County,FL,49821
12073,Leon County,FL,12296
12075,Levy County,FL,2353
12077,Liberty County,FL,195
12079,Madison County,FL,820
12081,Manatee County,FL,21324
12083,Marion County,FL,22270
12085,Martin County,FL,11903
12086,Miami-Dade County,FL,392901
12087,Monroe County,FL,7149
12089,Nassau County,FL,4210
12091,Okaloosa County,FL,9368
12093,Okeechobee County,FL,1801
12095,Orange County,FL,120913
12097,Osceola County,FL,35732
12099,Palm Beach County,FL,148961
12101,Pasco County,FL,32655
12103,Pinellas County,FL,66221
12105,Polk County,FL,34156
12107,Putnam County,FL,3728
12109,St. Johns County,FL,13139
12111,St. Lucie County,FL,25627
12113,Santa Rosa County,FL,7114
12115,Sarasota County,FL,28425
12117,Seminole County,FL,37130
12119,Sumter County,FL,4270
12121,Suwannee County,FL,2063
12123,Taylor County,FL,624
12125,Union County,FL,358
12127,Volusia County,FL,40262
12129,Wakulla County,FL,995
12131,Walton County,FL,4454
12133,Washington County,FL,961
13001,Appling County,GA,743
13003,Atkinson County,GA,245
13005,Bacon County,GA,355
13007,Baker County,GA,154
13009,Baldwin County,GA,1452
13011,Banks County,GA,1017
13013,Barrow County,GA,3295
13015,Bartow County,GA,5094
13017,Ben Hill County,GA,591
13019,Berrien County,GA,612
13021,Bibb County,GA,6931
13023,Bleckley County,GA,439
13025,Brantley County,GA,790
13027,Brooks County,GA,644
13029,Bryan County,GA,2218
13031,Bulloch County,GA,4022
13033,Burke County,GA,1302
13035,Butts County,GA,1029
13037,Calhoun County,GA,215
13039,Camden County,GA,2120
13043,Candler County,GA,752
13045,Carroll County,GA,6642
13047,Catoosa County,GA,2633
13049,Charlton County,GA,308
13051,Chatham County,GA,18939
13053,Chattahoochee County,GA,120
13055,Chattooga County,GA,869
13057,Cherokee County,GA,14145
13059,Clarke County,GA,4712
