state,county_name,fips_code,carrier,issuer_id,plan_count
AK,Aleutians East Borough,2013,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Aleutians West Census Area,2016,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Anchorage Municipality,2020,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Bethel Census Area,2050,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Bristol Bay Borough,2060,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Denali Borough,2068,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Dillingham Census Area,2070,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Fairbanks North Star Borough,2090,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Haines Borough,2100,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Hoonah-Angoon Census Area,2105,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Juneau City and Borough,2110,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Kenai Peninsula Borough,2122,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Ketchikan Gateway Borough,2130,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Kodiak Island Borough,2150,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Lake and Peninsula Borough,2164,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Matanuska-Susitna Borough,2170,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Nome Census Area,2180,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,North Slope Borough,2185,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Northwest Arctic Borough,2188,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Petersburg Census Area,2195,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Prince of Wales-Hyder Census Area,2198,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Sitka City and Borough,2220,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Skagway Municipality,2230,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Southeast Fairbanks Census Area,2240,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Valdez-Cordova Census Area,2261,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Wrangell City and Borough,2275,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Yakutat City and Borough,2282,Premera Blue Cross Blue Shield of Alaska,38344,11
AK,Yukon-Koyukuk Census Area,2290,Premera Blue Cross Blue Shield of Alaska,38344,11
AL,Autauga County,1001,Blue Cross and Blue Shield of Alabama,46944,15
AL,Baldwin County,1003,Blue Cross and Blue Shield of Alabama,46944,15
AL,Barbour County,1005,Blue Cross and Blue Shield of Alabama,46944,15
AL,Bibb County,1007,Blue Cross and Blue Shield of Alabama,46944,15
AL,Blount County,1009,Blue Cross and Blue Shield of Alabama,46944,15
AL,Bullock County,1011,Blue Cross and Blue Shield of Alabama,46944,15
AL,Butler County,1013,Blue Cross and Blue Shield of Alabama,46944,15
AL,Calhoun County,1015,Blue Cross and Blue Shield of Alabama,46944,15
AL,Chambers County,1017,Blue Cross and Blue Shield of Alabama,46944,15
