fips_code,count
16079,6
33017,4
16073,6
16071,6
16077,6
16075,6
48093,4
06115,5
06111,3
06113,6
01129,1
46111,3
40145,1
02100,1
02105,1
40147,1
19159,6
39109,9
19155,5
39105,6
19157,6
39107,6
19151,4
39101,6
19153,6
39103,9
40029,1
40143,1
48025,5
22009,3
40027,1
22001,4
22003,3
22005,3
13029,5
22007,3
06029,5
06021,4
40023,1
06023,4
06025,3
06027,2
27173,4
27171,7
51600,10
33013,4
21101,1
21103,2
21105,1
21107,1
21109,2
32013,6
32011,5
51840,6
32017,5
32015,6
47081,1
32019,8
26157,9
41001,5
26155,10
42057,9
12019,6
42051,8
26151,10
42053,8
12015,5
12017,4
12011,9
42059,8
12013,1
51115,6
46009,3
55109,2
51111,6
51113,4
46003,3
46007,3
53007,4
46005,3
17031,3
17033,2
48021,6
17035,2
05139,4
05137,5
05135,5
05133,4
05131,4
46117,3
54027,1
26023,6
05003,5
26021,6
05001,5
26027,6
05007,5
26025,7
05005,5
12121,3
12123,1
05009,5
12125,2
12127,8
48261,4
01025,1
01027,1
01021,1
01023,1
01029,1
37009,1
37007,1
37005,1
37003,1
37001,1
48365,3
36029,5
42129,8
48237,3
36023,4
36021,7
36027,7
36025,7
48091,5
42125,8
48235,3
48233,4
51065,5
48149,8
48419,3
48145,7
48147,4
48141,4
48143,6
01111,1
01113,1
01115,1
01117,1
01119,1
45061,5
13059,6
45065,4
45067,5
13053,6
13051,7
13057,10
13055,7
48231,2
01045,1
40073,1
37177,1
37175,1
37173,1
37171,1
37179,1
08053,5
08051,5
48029,6
08057,5
08055,7
08059,9
54089,1
31129,4
31127,4
31125,4
31123,4
31121,4
18149,5
54085,2
37125,1
18141,6
18143,4
18145,6
18147,5
37127,2
37121,1
29109,1
46011,3
05093,5
29101,1
29103,1
37123,1
29105,1
29107,1
55111,4
55113,2
55115,5
55117,3
48303,2
55119,3
34041,7
46013,3
48301,4
48307,7
51161,6
54081,2
48305,4
47035,1
47037,2
47031,1
47033,1
06109,4
06107,5
06105,4
06103,4
06101,5
46137,3
55029,3
19149,7
39171,7
19147,5
39173,10
19145,4
39175,6
19143,6
55023,4
19141,6
54083,1
19185,5
40141,1
30049,3
22019,3
22013,3
22011,3
22017,3
22015,3
46129,3
06039,4
06033,4
06031,4
06037,8
06035,4
27143,4
16065,6
27141,7
16067,6
27147,4
16061,6
27145,6
16063,6
51510,10
27149,4
51530,4
39009,7
16069,6
21113,3
21111,3
21117,2
21115,1
48447,4
21119,1
56045,2
32009,6
32005,9
32007,6
32001,6
32003,9
42021,10
26141,7
42023,8
26143,8
42025,7
26145,9
42027,11
12009,7
42029,5
26149,7
12005,2
12003,4
12001,4
51107,11
51105,4
51103,5
51101,5
51109,6
05109,5
05103,4
05101,5
05107,5
05105,5
13289,6
13287,5
51127,6
13285,5
13283,5
13281,6
46099,3
48121,6
30061,3
48219,4
48127,3
53039,2
30063,3
26039,6
05039,5
49047,7
05037,5
12133,1
05035,5
26037,8
05033,4
26031,7
05031,5
26033,4
49045,8
48229,3
20089,2
20087,2
20085,2
30067,3
20083,2
20081,2
49043,8
01051,1
01053,1
01055,1
01057,1
01059,1
49041,6
36017,6
37019,1
13199,5
36013,5
36011,4
13193,5
37011,1
13191,5
37013,1
13197,6
37015,1
13195,6
37017,1
48311,3
48313,6
48315,3
48317,5
48319,6
48139,5
48429,4
48131,3
48133,4
48135,2
48137,3
47175,1
13067,8
36075,5
13065,5
13063,7
55011,2
13061,5
47177,1
47069,1
13069,5
13265,5
13267,5
13261,5
13263,6
13269,5
42055,9
45089,4
40089,1
48047,5
48217,6
48041,4
48043,4
40081,1
26153,3
40083,1
40085,1
40087,1
20065,2
37161,1
20067,2
37163,1
20061,2
37165,1
20063,2
37167,1
37169,1
20069,2
48351,4
08069,8
08067,6
08065,5
45081,4
08063,6
08061,6
31119,4
31113,4
31111,4
31117,4
31115,4
48211,4
08085,5
08087,7
18159,5
08081,5
26159,8
08083,6
18153,4
18151,5
08089,7
18157,6
18155,3
51117,6
29119,1
29113,2
29111,1
29117,1
29115,1
51033,6
55063,3
51031,7
54059,1
55065,3
51037,6
55103,4
40021,1
55101,4
55107,2
55105,4
51119,5
51035,5
55069,4
48055,6
48363,5
38059,3
02122,1
47025,1
47023,1
47021,2
47029,1
29199,1
17037,2
19179,4
39169,7
17039,3
19173,4
39163,5
19171,5
39161,6
19177,4
39167,6
19175,5
39165,9
22027,3
22025,3
22023,3
22021,3
22029,3
06007,4
06005,5
06003,4
06001,5
06009,4
51620,4
02016,1
02013,1
16011,6
39017,11
16013,6
39015,6
16015,6
27159,4
16017,6
39011,6
16019,6
27155,4
27157,4
27151,4
27153,4
22117,3
21129,1
21127,1
48367,3
21125,2
21123,2
22115,3
21121,2
19087,5
46061,3
40001,1
12039,1
42031,8
46065,3
22111,3
46067,3
42035,7
12033,3
12031,7
42039,8
12037,1
40003,1
12035,6
51133,5
51131,4
51137,5
51135,6
40005,1
51139,6
19089,6
31177,4
40007,1
13299,5
22119,3
13291,6
13293,5
13295,5
51061,8
13297,8
12107,2
12105,6
12103,8
12101,7
02240,1
12109,5
26049,12
05029,5
26041,4
05021,5
26043,4
05023,5
26045,8
05025,5
26047,7
05027,4
20099,2
19095,4
48239,3
20091,2
20093,2
20095,2
20097,2
13185,5
13187,6
13181,5
13183,5
01049,1
13189,5
12129,1
36003,5
36005,10
36007,6
36009,4
45019,4
05115,5
05117,5
05111,5
05113,4
48309,7
05119,5
48435,5
48437,4
48431,5
48433,4
48439,6
53027,3
48129,5
48123,3
30045,3
26029,7
48125,4
13071,5
13073,5
13075,5
13077,6
13079,5
13277,5
13275,4
13273,5
13271,5
45087,4
45085,5
45083,4
13279,5
18099,6
18093,5
18091,6
18097,7
18095,6
27113,4
48057,2
40099,1
48053,9
48051,3
40093,1
40091,1
40097,1
40095,1
20077,2
20075,2
37199,1
20073,2
20071,2
37195,1
37197,1
37191,1
37193,1
20079,2
08079,6
48369,4
08071,6
08073,7
08075,6
08077,6
18167,4
28021,1
18165,4
18163,5
18161,4
28023,1
18169,4
08097,5
08095,6
08093,6
08091,5
28025,1
08099,6
29127,1
48399,6
29125,1
19035,5
29123,1
28027,1
29121,1
51595,4
20139,2
29129,1
19033,5
19031,5
35049,5
35045,5
35047,5
35041,5
35043,5
48391,5
48393,4
55139,4
55137,3
20137,2
55135,3
55133,7
55131,5
31105,4
31107,4
31101,4
31103,4
31109,4
37103,1
47013,1
47011,1
47017,1
47015,1
47019,2
39157,6
19165,5
39155,8
19167,7
27019,7
19161,5
39151,9
19163,6
27015,4
27017,5
27011,4
19169,5
27013,4
53011,5
55009,3
51041,7
55003,2
51580,4
37109,1
55007,2
55005,3
22031,3
22033,3
22035,3
22037,3
22039,3
06011,4
06013,6
06015,4
06017,6
06019,4
51630,8
02068,1
02060,1
06087,5
27129,4
16003,6
39021,9
16001,6
39027,6
16007,6
39025,8
16005,6
27121,4
27123,7
16009,6
27125,4
27127,4
48361,3
21139,1
21131,1
21133,1
21135,1
21137,2
12027,2
12021,3
12023,3
46115,3
51830,6
12029,2
46073,3
42127,7
30081,3
42009,10
46075,3
06085,8
42005,8
46079,3
42003,8
42001,6
42121,8
51125,7
42123,8
51121,6
48027,6
46053,3
40069,1
48023,3
12111,3
12113,2
12115,6
12117,8
12119,3
40063,1
26059,8
17199,2
17197,2
26053,4
17195,2
26051,6
17193,2
26057,8
17191,2
26055,6
48209,7
48203,3
40067,1
41069,5
48207,4
48205,4
17175,3
17177,2
17171,3
40065,1
17173,3
01077,1
01075,1
17179,3
01071,1
51141,4
48339,7
48337,4
48335,4
48333,6
48331,7
48117,4
48115,4
48113,8
48111,4
40153,1
40151,1
48119,1
36001,7
48417,4
48415,4
13089,9
13085,6
13087,5
13081,5
13083,5
26147,9
13243,5
13241,6
13247,7
13245,5
36101,4
13249,5
48411,6
36105,7
36107,5
34031,7
48063,3
48061,4
48067,4
48065,3
48069,4
20043,2
20041,2
20047,2
20045,2
02275,1
37187,1
20049,2
37185,1
37183,2
37181,1
01095,1
01097,1
01091,1
34039,7
01093,1
01099,1
18171,4
18173,4
18175,4
18177,3
18179,5
54035,2
54037,1
54031,1
54033,2
54039,2
29131,1
29133,1
29135,1
29137,1
29139,1
18085,5
18087,5
18081,6
18083,6
18089,5
48097,4
31009,4
40119,1
35059,5
31005,4
06083,2
31007,4
37097,1
31001,4
35053,5
31003,4
35051,5
06081,7
45069,5
40115,1
55129,2
11001,3
48099,4
55121,4
55123,6
55125,3
55127,6
28087,1
28085,2
28083,2
28081,1
31179,4
28089,2
48083,6
51079,6
47009,1
47005,1
47007,1
47001,1
47003,1
19111,4
39141,7
19113,6
39143,7
19115,4
39145,7
19117,5
27009,6
19119,6
27007,4
27005,4
27003,7
27001,5
30097,3
51077,4
49037,6
51057,5
39153,9
49035,8
51051,4
49033,7
02070,1
51053,6
42073,8
27139,7
19029,5
39039,8
16039,6
16037,6
27133,4
19027,5
27131,4
16033,6
27137,5
19023,6
27135,4
51800,5
51059,11
12051,2
12053,5
12055,2
39159,7
12057,8
12059,1
42019,8
46049,3
46047,3
42011,6
46045,3
42013,10
46043,3
42015,7
46041,3
42017,5
51159,4
48347,4
51153,11
51155,6
51157,4
48345,4
48343,3
21097,2
21095,1
21093,1
21091,1
48341,4
55001,5
21099,1
26067,8
05099,4
26065,8
26063,9
26061,4
02261,1
26069,9
17189,2
17181,2
17183,2
17185,2
17187,2
01069,1
17165,2
17163,1
17161,2
01061,1
01063,1
01065,1
01067,1
49023,6
48329,2
54087,2
48321,4
48323,3
48325,3
48327,6
48101,4
48103,4
48105,5
48107,2
48109,3
48459,1
13099,5
13097,6
13095,5
13093,5
13091,5
48215,5
36119,9
13259,5
48213,4
13255,7
13257,6
13251,5
13253,4
48079,3
48075,4
48077,1
48071,4
48073,4
24025,6
53001,6
24027,6
24021,6
20059,2
24023,5
20055,2
20057,2
24029,5
20051,2
20053,2
01087,1
01085,1
01083,1
01081,1
53005,6
40149,1
01089,1
05149,5
18181,4
18183,5
05147,5
54025,1
54023,1
54021,2
55037,2
54029,2
53003,3
30015,3
30017,3
30011,3
30013,3
31019,4
31017,4
35061,5
31015,4
30019,3
31013,4
31011,4
15007,2
15005,2
48507,3
15003,2
30065,3
15001,2
15009,2
51069,6
39023,11
23011,4
28091,2
23013,4
28093,1
23015,4
28095,1
23017,4
28097,2
23019,4
28099,1
31169,4
54053,2
02020,1
47079,1
49025,6
47071,1
47073,2
47075,2
39029,7
47077,1
55061,2
19103,5
27039,4
19101,4
51036,5
19107,4
55067,3
19105,5
27033,4
51735,6
27031,4
19109,5
27037,7
27035,4
55031,3
47105,1
47107,1
47101,1
47103,1
47109,1
27107,4
27105,4
27103,4
27101,4
29067,1
27109,4
39049,8
16029,6
19039,5
39041,7
19037,5
39043,6
16023,6
39045,8
16025,6
39047,6
16027,6
51810,5
33015,4
48373,3
12043,1
12041,2
12047,1
48395,3
12045,1
12049,1
33011,4
46059,3
46051,3
01009,1
46055,3
46057,3
37029,1
51149,6
13149,6
51143,7
29069,1
51147,6
56021,2
51145,6
33019,4
21081,2
48397,6
21083,1
21085,1
21087,1
21089,2
26071,4
26073,8
26075,8
26077,9
26079,6
47047,2
42103,7
51063,5
17153,2
48269,4
17151,2
46071,3
17157,2
17155,3
48181,3
05091,4
17159,2
05095,5
05097,5
46077,3
36047,10
13319,5
13315,5
13317,5
13311,6
13313,6
48185,6
17081,2
42007,8
17083,2
17085,2
17087,2
17089,2
05145,5
42109,10
05143,5
05141,5
49027,6
48469,2
48467,4
48465,3
45063,4
48463,4
48461,4
20119,2
20115,2
20117,2
20111,2
20113,2
36123,4
36121,6
13229,5
48263,4
48265,4
48267,5
13221,5
13223,6
13225,6
13227,6
55091,2
40049,1
55059,3
40045,1
40047,1
40041,1
40043,1
48009,1
48001,4
48003,4
48005,3
48007,3
20029,2
24037,5
24035,5
24033,6
24031,6
20021,2
20023,2
20025,2
20027,2
24039,5
13135,10
13137,6
13131,4
13133,6
55051,2
40139,1
13139,6
55053,4
56017,2
54013,2
54011,2
54017,2
54015,2
54019,2
48485,1
48487,3
38019,3
48483,4
38015,3
38017,3
05049,5
38011,3
38013,2
05047,4
48169,4
30007,3
31029,4
30005,3
30003,3
30001,3
31023,4
56019,2
31021,4
31027,4
31025,4
30009,3
55027,5
23003,3
23001,4
28069,1
23007,4
31159,4
23005,4
28065,2
28067,2
23009,3
28061,1
28063,2
27025,5
27027,4
27021,4
27023,4
47063,1
47061,1
27029,4
47065,1
40131,1
55071,3
55077,3
19139,5
55075,3
19137,5
19135,5
55079,4
19133,6
40133,1
19131,6
40135,1
50021,2
50027,2
50025,2
40137,1
02050,1
47117,1
47115,1
47113,1
13035,7
47119,1
27111,4
13037,5
27115,5
27117,4
27119,4
40035,1
28115,1
19009,6
39059,5
28111,1
28113,2
19003,4
39053,6
19001,6
39051,8
19007,6
39057,10
19005,5
39055,9
02130,1
12079,1
12077,1
12075,2
12073,2
12071,4
51177,8
49011,8
51175,4
51173,4
51171,5
49013,7
51179,9
51775,6
42093,10
51770,6
48449,3
49015,6
46083,3
46081,3
46087,3
49017,6
46085,3
49055,6
46089,3
49051,7
49053,7
21079,2
21075,1
21077,2
21071,2
21073,2
26089,6
26085,6
26087,10
26081,8
26083,4
21219,1
05089,5
17149,3
21211,2
05083,4
21213,1
05081,4
21215,2
05087,5
21217,2
05085,5
21189,1
13309,5
21181,2
13307,5
21183,1
13305,5
21185,3
13303,5
21187,2
13301,5
12095,6
17093,1
12097,8
17091,3
12091,2
17097,1
12093,3
17095,3
17099,3
12099,9
48201,8
48479,2
36111,7
48471,6
48473,6
48475,4
48477,6
55025,3
20109,2
20107,2
20105,2
20103,2
20101,2
51075,6
55021,3
51073,6
48273,5
13239,4
48277,3
48275,4
13233,6
13231,6
13237,5
13235,5
41055,5
41057,4
41051,8
01079,1
41053,7
40059,1
44005,2
40057,1
44007,2
08125,6
41059,5
08123,8
44003,2
08121,6
48019,4
29099,2
29097,2
48013,3
29095,3
48011,3
29093,1
48017,3
29091,1
48015,5
24003,6
24001,5
20039,2
24005,6
20033,2
24009,6
20031,2
20037,2
20035,2
37087,1
13127,5
37085,1
13125,5
37083,1
13123,6
37081,1
13121,10
40129,1
37089,1
13129,7
54009,2
54005,2
54007,1
54001,2
54003,1
48497,2
48495,4
48493,3
38009,3
38007,3
48167,6
38005,3
38003,3
38001,3
30033,3
30031,3
30037,3
30035,3
30039,3
18035,4
18037,5
18031,4
18033,3
48489,5
18039,6
29075,1
31149,4
29077,2
29071,2
29073,1
28079,1
28077,2
28075,1
29079,1
28073,1
23031,4
28071,1
47057,1
47055,1
02195,1
47051,1
02198,1
47059,2
27051,4
27053,7
27055,4
27057,4
27059,5
50017,2
19129,5
50015,2
50013,2
50011,2
55047,3
19121,6
55045,4
19123,4
55043,4
19125,6
51540,5
19127,5
35001,5
31035,4
35003,5
31037,4
35005,5
31031,4
35007,5
31033,4
35009,5
31039,4
48441,2
46123,3
48443,3
46125,3
47123,1
47121,1
47127,1
47125,2
48445,4
47129,1
46127,3
39067,5
19015,6
39065,7
19017,6
39063,6
19011,5
39061,11
19013,6
19019,6
39069,8
28107,1
28105,1
28103,1
28101,1
39001,6
28109,2
39003,7
45017,5
12069,6
01043,1
12061,3
12063,1
12065,1
12067,1
29211,1
51163,4
51165,5
51167,4
51169,4
29213,1
48451,3
51760,7
29215,1
48045,4
29217,1
49049,8
46095,3
46097,3
46091,3
46093,3
21069,2
21067,3
21065,2
21063,2
21061,1
48297,4
26099,14
26097,4
26095,4
26093,9
26091,6
56043,2
30099,3
46015,3
56041,2
17139,3
31157,4
21209,3
17131,2
21203,2
17133,1
21201,2
17135,2
21207,1
17137,3
21205,2
21199,2
21193,2
21191,2
21197,2
21195,1
12086,9
12087,2
12085,4
12083,5
12081,6
12089,4
17045,2
17047,2
36103,9
17041,2
17043,3
20133,2
20131,2
17049,2
20135,2
13207,5
36109,4
13205,4
13201,5
13209,5
36065,6
48249,5
48247,3
48245,5
48243,3
48241,5
45015,4
41047,7
08119,6
41045,5
45011,4
41043,5
45013,4
41041,4
08113,5
08111,5
08117,8
08115,6
41049,5
20007,2
29089,1
20005,2
46017,3
20003,2
20001,2
29081,1
29083,1
29085,1
20009,2
29087,1
24019,5
24015,5
24017,6
24011,5
24013,6
13113,7
37091,1
13111,6
37093,1
13117,10
37095,1
13115,7
12007,4
40117,1
37099,1
13119,6
36069,4
40113,1
40111,1
09015,7
46019,3
54079,2
54071,1
09011,7
54073,2
54075,1
54077,2
38039,3
09013,7
38033,3
38031,3
54047,1
38037,3
38035,3
47067,2
54049,2
51790,5
34019,7
30029,3
55073,4
34011,7
30025,3
34013,7
30027,3
34015,7
30021,3
34017,7
30023,3
54105,2
18027,6
54107,2
18025,5
54101,1
18023,5
54103,2
18021,4
54109,1
18029,3
38105,3
38103,3
51009,7
38101,3
23029,3
28049,2
29065,1
29063,1
29061,1
28043,2
23021,4
28041,1
23023,4
28047,1
23025,4
28045,2
23027,4
02180,1
47043,1
47045,1
02185,1
47049,1
02188,1
01073,1
51550,5
27043,4
27041,4
27047,4
27045,4
53049,4
27049,4
50001,2
50003,2
50005,2
50007,2
50009,2
51570,6
55055,5
55057,6
31041,4
35013,5
31043,4
35011,5
31045,4
35017,5
31047,4
35015,5
31049,4
35019,5
51680,7
51683,9
51685,9
47139,1
50023,2
47135,1
47137,1
47131,1
47133,1
19061,5
39071,6
19063,6
39073,5
19065,6
39075,5
19067,6
39077,6
19069,6
39079,5
37189,1
28133,2
28131,1
28137,1
28135,2
28139,1
55017,3
19099,6
51199,6
53021,7
40013,1
51195,4
51197,5
16049,6
51191,4
51193,5
22081,3
22083,3
40011,1
22085,3
22087,3
16047,6
22089,3
40017,1
16045,6
40015,1
26035,6
19091,5
21059,1
21053,1
21051,2
19093,5
21057,1
21055,1
02220,1
21237,2
21235,2
21233,1
21231,1
53045,4
53047,5
47111,1
53041,5
21239,3
17129,3
13321,5
17123,3
17121,2
17127,2
17125,3
48179,4
26135,7
26137,7
26131,4
26133,6
26139,6
20125,2
20127,2
20121,2
20123,2
20129,2
17057,3
17055,2
17053,2
17051,2
48383,6
48381,3
48187,3
48387,4
17059,2
13211,5
12131,2
13215,7
13217,6
13219,6
01041,1
53035,6
48259,4
48251,5
48253,2
48255,5
48257,3
45007,4
41071,6
45005,4
45003,4
45001,4
48039,6
45009,4
20011,2
20013,2
20015,2
20017,2
20019,2
01047,1
28117,1
40109,1
37069,1
13109,5
37065,1
13105,6
37067,1
13107,5
37061,1
13101,5
37063,1
13103,5
48221,6
04009,2
38025,3
29183,2
38027,3
29185,1
38021,3
29187,2
29186,2
04001,2
54063,1
04003,2
54061,2
04005,2
38029,3
04007,2
54065,1
28119,1
08105,6
08107,5
08101,6
08103,5
48059,2
08109,6
30059,3
34009,7
30051,3
34003,7
30053,3
34001,7
30055,3
34007,7
30057,3
34005,7
18013,5
16021,6
18011,7
18017,5
18015,5
18019,5
28055,1
28057,1
28051,2
28053,2
28059,1
29053,1
29051,1
29057,1
29055,1
29059,1
48385,3
37119,1
36015,3
13213,6
27079,4
27077,4
31185,4
27075,4
27073,4
37139,1
27071,5
31183,4
48481,5
31053,4
31051,4
31057,4
35029,5
31055,4
35027,5
35025,5
31059,4
35023,5
35021,5
55083,3
55081,4
55087,4
55085,4
55089,5
47149,2
51690,5
36019,6
47141,1
47143,1
47145,1
47147,2
19073,5
19071,5
39089,8
19077,5
19075,6
39085,10
39087,5
19079,6
39081,6
39083,5
28129,1
35057,5
28125,1
28127,1
28121,2
28123,1
35055,5
16083,6
16081,6
16087,6
16085,6
02150,1
51610,10
51187,7
51185,5
51183,6
51181,5
27095,4
22093,3
27097,4
22091,3
27091,4
22097,3
27093,4
22095,3
22099,4
27099,4
21045,2
21047,1
21041,2
21043,2
17203,3
17201,2
21049,3
53023,3
48033,4
02230,1
48035,6
48037,2
39033,5
51678,5
17117,2
21221,1
17115,3
21223,2
05059,5
21225,1
17111,1
21227,1
05055,5
21229,2
05057,4
53055,3
05051,5
53053,8
05053,5
53051,3
36099,4
36097,3
36095,7
36093,7
36091,7
51670,6
42087,10
26127,6
42085,8
26125,14
42083,8
26123,6
42081,7
26121,6
42089,7
26129,8
20151,2
10005,5
20153,2
20155,2
10001,5
20157,2
10003,5
20159,2
17063,1
48423,2
17061,2
17067,2
17065,2
17069,2
48421,4
56029,2
30077,3
34021,7
48427,4
30075,3
48425,7
30073,3
49057,8
34025,7
45033,4
45031,5
45037,4
30071,3
45035,4
41065,5
45039,5
41067,8
41061,5
41063,5
48283,3
48281,4
48287,8
48285,4
34029,7
48289,5
13179,5
36077,6
36071,9
36073,6
37079,1
13171,6
37077,1
13173,5
37075,1
13175,6
37073,1
13177,5
37071,1
54057,1
54055,1
08009,6
54051,2
08005,9
08007,5
32021,7
08001,8
08003,6
38051,3
38053,2
04019,3
38055,3
29197,1
38057,3
29195,1
04012,2
04013,4
04011,2
04017,2
04015,2
42117,7
13005,5
13007,5
13001,5
13003,5
19183,5
40009,1
13009,5
19181,6
30043,3
30041,3
30047,3
19187,5
18009,4
40101,1
18005,4
18007,4
18001,5
18003,5
20205,2
20207,2
40103,1
20201,2
20203,2
28029,1
45091,5
37133,1
20209,2
40105,1
37107,1
37105,1
29049,1
37101,2
29045,1
29047,3
29041,1
29510,2
29043,1
27069,4
27061,5
27063,4
27065,5
27067,4
34037,7
35039,5
34035,7
34033,7
31069,4
31067,4
35031,5
31065,4
35033,5
31063,4
35035,5
31061,4
35037,5
51021,5
02090,1
55099,2
06089,4
55015,4
19191,5
55095,2
19193,7
55097,4
19195,5
51023,6
19197,5
55093,2
31085,4
31087,4
47159,1
31081,4
31083,4
46037,3
47153,1
47151,1
31089,4
47157,2
47155,1
29181,1
46035,3
51027,4
19049,6
39099,8
19047,5
39097,7
19045,6
39095,10
19043,6
39093,10
19041,6
39091,5
28159,2
51029,6
54069,2
39149,8
28151,2
28153,2
46031,3
28155,1
28157,2
38023,2
48379,3
55019,2
29189,2
05129,5
39147,6
36059,9
48049,3
54067,1
27087,4
27085,4
27083,4
27081,4
51730,6
40061,1
48371,4
27089,4
21031,1
21033,1
21035,1
21037,2
21039,1
48377,3
22045,3
39111,6
22047,3
22041,3
05123,5
22043,3
25027,9
16059,6
25025,8
22049,3
25023,8
25021,8
06065,6
06067,6
06061,6
06063,4
06069,4
51640,5
56015,2
17101,2
53069,4
17103,2
56011,2
17105,3
56013,2
17107,3
53063,9
17109,3
53061,7
05045,5
53067,9
05043,5
53065,4
05041,5
36089,5
21149,1
17145,2
21145,1
36081,10
21147,1
36083,7
21141,1
36085,10
21143,1
36087,8
17147,2
40075,1
48291,5
17141,2
26113,6
42091,5
26111,6
40077,1
26117,8
42095,10
26115,10
42097,10
49019,7
42099,9
26119,7
17143,3
40071,1
20143,2
20141,2
20147,2
20145,2
46135,3
20149,2
17079,2
17075,2
17077,2
17071,2
17073,2
51019,7
40079,1
48413,5
41019,5
45029,4
41011,5
45025,5
41013,5
45027,4
41015,5
45021,4
41017,6
45023,5
24047,5
24045,5
24043,5
48299,8
24041,5
29219,2
48295,4
40031,1
53025,7
42133,6
48293,7
51045,6
53013,4
36067,4
37049,1
13169,5
36063,5
36061,10
37043,1
13163,5
37041,1
13161,5
37047,1
13167,5
37045,1
13165,5
04027,2
54041,1
04025,2
54043,2
04023,2
54045,2
04021,2
08019,6
08017,6
08014,8
08015,6
08013,8
08011,6
38043,3
38041,3
38047,3
38045,3
38049,3
13017,5
13015,8
13013,8
30109,3
13011,6
30107,3
30105,3
40019,1
30103,3
30101,3
13019,5
18079,4
18071,4
18073,3
18075,4
46107,3
18077,4
28033,2
28031,2
28037,2
28035,1
48189,4
28039,1
29039,1
37131,1
37137,1
37135,2
29031,1
29033,1
29035,1
29037,2
47099,1
47093,1
47091,2
47097,2
47095,1
40037,1
18105,5
19025,5
18107,6
18101,5
18103,5
39035,10
18109,6
16035,6
51071,6
39037,8
19021,4
39031,5
29145,2
31079,4
29147,1
34023,7
29141,1
16031,6
29143,1
34027,7
31071,4
31073,4
29149,1
31075,4
30079,3
31077,4
47167,2
06099,5
47165,2
19189,5
47163,2
47161,1
06091,4
06093,4
06095,6
47169,2
06097,6
31097,4
31095,4
31093,4
31091,4
31099,4
19059,6
55039,5
49021,7
19051,5
19053,6
19055,5
19057,6
31141,4
28149,1
51740,5
28143,1
28141,1
28147,2
28145,1
37113,1
22123,3
22121,3
22127,3
22125,3
02170,1
31143,4
39135,9
39137,7
39131,6
39133,9
51720,4
39139,6
21023,2
21021,2
21027,1
21025,1
21029,3
22057,3
25019,4
22055,4
22053,3
22051,3
25013,8
25011,9
25017,9
25015,8
22059,3
06077,5
06075,8
06073,7
06071,6
31145,4
06079,2
48271,3
51650,6
56007,2
05079,5
56005,2
56003,2
56001,2
05073,4
05071,4
05077,5
53031,4
05075,5
56009,2
48183,1
21159,1
21157,1
21155,2
21153,1
21151,2
48279,4
31147,4
46121,3
49003,8
49001,6
42069,7
26109,4
49005,7
42065,10
26105,6
42067,9
26107,6
42061,10
