fips_code,count
16079,67
33017,88
16073,100
16071,69
16077,69
16075,88
48093,47
06115,71
06111,54
06113,89
01129,15
46111,50
40145,30
02100,11
02105,11
40147,14
19159,53
39109,138
19155,98
39105,89
19157,52
39107,71
19151,25
39101,84
19153,88
39103,134
40029,30
40143,30
48025,54
22009,34
40027,30
22001,49
22003,34
22005,40
13029,60
22007,34
06029,80
06021,51
40023,30
06023,51
06025,48
06027,28
27173,57
27171,115
51600,134
33013,88
21101,10
21103,33
21105,22
21107,10
21109,33
32013,97
32011,94
51840,92
32017,94
32015,97
47081,10
32019,125
26157,149
41001,22
26155,239
42057,48
12019,152
42051,35
26151,164
42053,35
12015,136
12017,135
12011,171
42059,35
12013,25
51115,95
46009,50
55109,37
51111,102
51113,54
46003,50
46007,50
53007,53
46005,50
17031,103
17033,61
48021,91
17035,61
05139,64
05137,76
05135,76
05133,64
05131,64
46117,50
54027,16
26023,114
05003,76
26021,114
05001,76
26027,114
05007,76
26025,152
05005,76
12121,65
12123,25
05009,76
12125,41
12127,250
48261,47
01025,15
01027,15
01021,15
01023,15
01029,15
37009,17
37007,23
37005,17
37003,29
37001,12
48365,36
36029,210
42129,77
48237,36
36023,246
36021,454
36027,401
36025,428
48091,84
42125,77
48235,32
48233,47
51065,73
48149,88
48419,36
48145,50
48147,49
48141,91
48143,39
01111,15
01113,15
01115,15
01117,15
01119,15
45061,76
13059,120
45065,75
45067,76
13053,120
13051,127
13057,193
13055,75
48231,34
01045,15
40073,30
37177,17
37175,17
37173,17
37171,29
37179,23
08053,49
08051,49
48029,97
08057,49
08055,108
08059,142
54089,16
31129,34
31127,34
31125,34
31123,34
31121,34
18149,101
54085,38
37125,17
18141,149
18143,91
18145,118
18147,99
37127,34
37121,17
29109,45
46011,50
05093,76
29101,5
29103,45
37123,17
29105,45
29107,5
55111,205
55113,65
55115,171
55117,79
48303,41
55119,128
34041,64
46013,60
48301,47
48307,92
51161,92
54081,38
48305,47
47035,10
47037,27
47031,10
47033,10
06109,51
06107,76
06105,51
06103,51
06101,71
46137,50
55029,79
19149,73
39171,86
19147,43
39173,153
19145,25
39175,82
19143,46
55023,143
19141,37
54083,16
19185,34
40141,30
30049,40
22019,34
22013,34
22011,34
22017,40
22015,40
46129,50
06039,68
06033,51
06031,68
06037,137
06035,51
27143,59
16065,69
27141,142
16067,81
27147,66
16061,69
27145,104
16063,70
51510,134
27149,55
51530,54
39009,95
16069,69
21113,39
21111,39
21117,33
21115,10
48447,47
21119,10
56045,68
32009,107
32005,150
32007,97
32001,97
32003,135
42021,62
26141,124
42023,40
26143,134
42025,28
26145,162
42027,74
12009,209
42029,38
26149,124
12005,74
12003,91
12001,86
51107,179
51105,54
51103,73
51101,64
51109,103
05109,76
05103,64
05101,76
05107,76
05105,76
13289,61
13287,49
51127,83
13285,49
13283,60
13281,74
46099,60
48121,80
30061,40
48219,47
48127,36
53039,15
30063,50
26039,114
05039,76
49047,45
05037,76
12133,25
05035,76
26037,214
05033,64
26031,124
05031,76
26033,40
49045,56
48229,36
20089,24
20087,24
20085,24
30067,40
20083,24
20081,24
49043,56
01051,15
01053,15
01055,15
01057,15
01059,15
49041,38
36017,386
37019,29
13199,49
36013,210
36011,246
13193,49
37011,17
13191,60
37013,17
13197,120
37015,17
13195,120
37017,17
48311,36
48313,39
48315,36
48317,48
48319,81
48139,37
48429,47
48131,36
48133,47
48135,41
48137,36
47175,10
13067,91
36075,328
13065,60
13063,145
55011,63
13061,49
47177,10
47069,10
13069,60
13265,49
13267,49
13261,60
13263,109
13269,49
42055,52
45089,75
40089,30
48047,102
48217,49
48041,33
48043,47
40081,30
26153,25
40083,30
40085,30
40087,30
20065,24
37161,17
20067,24
37163,17
20061,24
37165,17
20063,24
37167,23
37169,29
20069,24
48351,47
08069,149
08067,71
08065,49
45081,75
08063,79
08061,79
31119,34
31113,34
31111,34
31117,34
31115,34
48211,47
08085,49
08087,108
18159,99
08081,49
26159,162
08083,71
18153,98
18151,141
08089,108
18157,147
18155,90
51117,102
29119,45
29113,65
29111,45
29117,5
